MYEAR	SDATE	STIME	SHIPC	SHARKID_MD5	STATN	LATIT_DD	LONGI_DD	SEA_AREA_CODE	SEA_AREA_NAME	SEA_BASIN	WATER_DISTRICT	WATER_TYPE_AREA	WLTYP	MNDEP	MXDEP
2016	2016-06-23			7979d57ddc4b628150c520d4152dfd6f	TF 10	63.704269999999994	20.47662	637310-204860	Yttre Täftefjärden	N Kvarken	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	2 - Havsområde innanför 1 NM	16.6	16.6
2016	2016-06-23			d25a007b774fcd0185513608383f0bc4	TF 2	63.770880000000005	20.48262	634740-203020	Täftefjärden	N Kvarken	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	2 - Havsområde innanför 1 NM	9.7	9.7
2016	2016-06-23			8c83013b5a64b313e668f080502e9b2d	TF 6	63.753980000000006	20.443270000000002	637310-204860	Yttre Täftefjärden	N Kvarken	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	2 - Havsområde innanför 1 NM	8.6	8.6
2016	2016-06-23			041a2261aaec4820e13b839adfd861d5	TF 7	63.740669999999994	20.47697	637310-204860	Yttre Täftefjärden	N Kvarken	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	2 - Havsområde innanför 1 NM	11.0	11.0
2016	2016-06-23			ff44d38acb45a95f3944b44f0f035eee	TF 8	63.723369999999996	20.45713	637310-204860	Yttre Täftefjärden	N Kvarken	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	2 - Havsområde innanför 1 NM	12.9	12.9
2016	2016-06-23			9fa06f4d56b80ad38eaa12a6597295ce	TF 9	63.72832	20.51865	637310-204860	Yttre Täftefjärden	N Kvarken	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	2 - Havsområde innanför 1 NM	15.8	15.8
2016	2016-06-20			cf9e539aa8f77dbf0fa4ea53f29f6927	TF 1	63.784380000000006	20.51325	634740-203020	Täftefjärden	N Kvarken	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	2 - Havsområde innanför 1 NM	6.1	6.1
2016	2016-06-20			44227f14f45d82dc0e37f97bda2f107c	TF 3	63.79042	20.50405	634740-203020	Täftefjärden	N Kvarken	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	2 - Havsområde innanför 1 NM	6.8	6.8
2016	2016-06-20			b35287a930d5557783834ef905403b80	TF 4	63.77336999999999	20.49608	634740-203020	Täftefjärden	N Kvarken	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	2 - Havsområde innanför 1 NM	7.9	7.9
2016	2016-06-20			ac3a8fed78681b7bf7436d3c7fd3e23a	TF 5	63.800430000000006	20.5028	634740-203020	Täftefjärden	N Kvarken	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	2 - Havsområde innanför 1 NM	5.5	5.5
2016	2016-06-16			124e4c8dfaef4c925e013b16f252679d	AC 19	64.64947	21.3359	646360-213700	Skelleftebukten	Bottenviken	Bottenvikens vattendistrikt	23 - Norra Bottenviken. Yttre kustvatten	2 - Havsområde innanför 1 NM	26.7	26.7
2016	2016-06-16			e0554b9ece1a197aefeab38b797dea05	AC 2	64.64177	21.26885	643920-211500	Simpan	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	11.3	11.3
2016	2016-06-16			18900422e991be17286c6f38fc47f6d7	AC 3	64.63731999999999	21.371270000000003	646360-213700	Skelleftebukten	Bottenviken	Bottenvikens vattendistrikt	23 - Norra Bottenviken. Yttre kustvatten	2 - Havsområde innanför 1 NM	30.2	30.2
2016	2016-06-16			c66fb9f5553982fc45218145afc6d9bb	AC 5	64.65298	21.31308	646360-213700	Skelleftebukten	Bottenviken	Bottenvikens vattendistrikt	23 - Norra Bottenviken. Yttre kustvatten	2 - Havsområde innanför 1 NM	28.7	28.7
2016	2016-06-16			481e8a5337dda4a7fe20d0acaa934c3f	AC 6	64.64917	21.36273	646360-213700	Skelleftebukten	Bottenviken	Bottenvikens vattendistrikt	23 - Norra Bottenviken. Yttre kustvatten	2 - Havsområde innanför 1 NM	37.6	37.6
2016	2016-06-16			e02e39768b9d831f279418507258c95f	AC 7	64.6381	21.40832	646360-213700	Skelleftebukten	Bottenviken	Bottenvikens vattendistrikt	23 - Norra Bottenviken. Yttre kustvatten	2 - Havsområde innanför 1 NM	31.1	31.1
2016	2016-06-16			356094d91da18b9bce442e5e2fd805ef	AC 9	64.61232	21.39507	646360-213700	Skelleftebukten	Bottenviken	Bottenvikens vattendistrikt	23 - Norra Bottenviken. Yttre kustvatten	2 - Havsområde innanför 1 NM	35.5	35.5
2016	2016-06-16			520f9771adf15a1d9235aaa5e7d3016e	H 22	63.8012	20.851	635300-205251	N n Kvarkens kustvatten	N Kvarken	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	2 - Havsområde innanför 1 NM	19.3	19.3
2016	2016-06-16			df210827ef398c8c9122bc46fb391548	HO 7	63.72885	20.85193	633550-200700	S n Kvarkens kustvatten	N Kvarken	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	2 - Havsområde innanför 1 NM	15.6	15.6
2016	2016-06-15		77SK	aacaf4d722f298468bfc5dedac2fecf2	HÄLLSÖ	58.96917	11.0905	590670-111380	Singlefjorden	Skagerrak	Västerhavets vattendistrikt	01n - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	60.5	60.5
2016	2016-06-15		77SK	2ceeeeed63ef4b956eefda33f4a7cb1a	LINDÖN	58.79833000000001	11.158669999999999	584725-111050	Lindöfjorden sek namn	Skagerrak	Västerhavets vattendistrikt	01n - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	46.5	46.5
2016	2016-06-15			99085f10318551e1e0147a8493fd0781	NSK 1	65.0436	21.56972	652400-223501	Norrbottens skärgårds kustvatten	Bottenviken	Bottenvikens vattendistrikt	23 - Norra Bottenviken. Yttre kustvatten	2 - Havsområde innanför 1 NM	25.4	25.4
2016	2016-06-15			50e6cb77a7fa4593808b32a3a1dcd17d	R 6-12	65.05475	21.53047	652400-223501	Norrbottens skärgårds kustvatten	Bottenviken	Bottenvikens vattendistrikt	23 - Norra Bottenviken. Yttre kustvatten	2 - Havsområde innanför 1 NM	6.4	6.4
2016	2016-06-15			9fb71aef2b0a31c433f9655726dad2d8	R 6-2	65.05382	21.45485	650280-213110	Kinnbäcksfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	5.1	5.1
2016	2016-06-15			39aa12995806a38147eeeb43ea0fed4e	R 6-3	65.05991999999999	21.472	650280-213110	Kinnbäcksfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	7.1	7.1
2016	2016-06-15			028de9e66694a1181036a3893e80fae4	R 6-4	65.04705	21.47512	650280-213110	Kinnbäcksfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	10.8	10.8
2016	2016-06-15			9973ddb06fb688ff686d83ca915e65e9	R 6-5	65.05063	21.48755	650280-213110	Kinnbäcksfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	6.5	6.5
2016	2016-06-15			df0336c72e2ecbef4410718293485ae6	R 6-6	65.05742	21.49597	650280-213110	Kinnbäcksfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	6.2	6.2
2016	2016-06-15			a3cd867b9f947d20d9ce641842ec93b1	R 6-9	65.04923000000001	21.5431	652400-223501	Norrbottens skärgårds kustvatten	Bottenviken	Bottenvikens vattendistrikt	23 - Norra Bottenviken. Yttre kustvatten	2 - Havsområde innanför 1 NM	14.7	14.7
2016	2016-06-15		77NE	dd81ba12562ca4722d24fab66efad069	ÖDDÖ	58.92916999999999	11.139330000000001	585600-110880	Strömstadsfjorden	Skagerrak	Västerhavets vattendistrikt	01n - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	28.0	28.0
2016	2016-06-15		77NE	92ce0152efd0f7677c4554ae6c125fa8	ÖDDÖ	58.92916999999999	11.139330000000001	585600-110880	Strömstadsfjorden	Skagerrak	Västerhavets vattendistrikt	01n - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	28.0	28.0
2016	2016-06-14			54f3ea1ae810d2e249c830449abc2ba2	H 1	65.49943	22.85737	652400-223501	Norrbottens skärgårds kustvatten	Bottenviken	Bottenvikens vattendistrikt	23 - Norra Bottenviken. Yttre kustvatten	2 - Havsområde innanför 1 NM	52.5	52.5
2016	2016-06-14			92df19f95358c2bbde073b251f506197	LS 10	65.50215	22.426	652920-222650	Sörbrändöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	24.8	24.8
2016	2016-06-14			ee2ea97c5c501516f3249c3602f6202a	LS 7B	65.51843000000001	22.40085	652920-222650	Sörbrändöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	9.9	9.9
2016	2016-06-14			0113849858b33247fb5ff99495716059	LS 8	65.52823000000001	22.416179999999997	652920-222650	Sörbrändöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	10.4	10.4
2016	2016-06-14			53b68acf1d83747bf4f44ae919da98c6	Ly	56.47608	12.82963	563330-124600	Laholmsbukten	S Kattegatt	Västerhavets vattendistrikt	05 - Södra Hallands och norra Öresunds kustvatten	2 - Havsområde innanför 1 NM	14.1	14.1
2016	2016-06-14			e462c076e80537a2eb02997bcd2030a9	Ly	56.47608	12.82963	563330-124600	Laholmsbukten	S Kattegatt	Västerhavets vattendistrikt	05 - Södra Hallands och norra Öresunds kustvatten	2 - Havsområde innanför 1 NM	14.1	14.1
2016	2016-06-14			5483b92dfa9beebc3f4ce4e8728a4aa2	Ly	56.47608	12.82963	563330-124600	Laholmsbukten	S Kattegatt	Västerhavets vattendistrikt	05 - Södra Hallands och norra Öresunds kustvatten	2 - Havsområde innanför 1 NM	14.1	14.1
2016	2016-06-14			00feff89902d885a016202d860d396e7	Ly	56.47608	12.82963	563330-124600	Laholmsbukten	S Kattegatt	Västerhavets vattendistrikt	05 - Södra Hallands och norra Öresunds kustvatten	2 - Havsområde innanför 1 NM	14.1	14.1
2016	2016-06-14			41a3c5d4ca2b3fdad98b63aff701b4ab	Ly	56.47608	12.82963	563330-124600	Laholmsbukten	S Kattegatt	Västerhavets vattendistrikt	05 - Södra Hallands och norra Öresunds kustvatten	2 - Havsområde innanför 1 NM	14.1	14.1
2016	2016-06-14			89be2219251de076b564d9836187597e	N 7-4	65.51493	23.03203	652400-223501	Norrbottens skärgårds kustvatten	Bottenviken	Bottenvikens vattendistrikt	23 - Norra Bottenviken. Yttre kustvatten	2 - Havsområde innanför 1 NM	63.1	63.1
2016	2016-06-14			1743aeac52c25707241ae550faffcb8b	N 7-5	65.51048	23.23005	652400-223501	Norrbottens skärgårds kustvatten	Bottenviken	Bottenvikens vattendistrikt	23 - Norra Bottenviken. Yttre kustvatten	2 - Havsområde innanför 1 NM	104.0	104.0
2016	2016-06-14			55393a1b26849e1a53d714ee0fa8ed5a	S5	56.3155	12.65217	562000-123800	Skälderviken	S Kattegatt	Västerhavets vattendistrikt	05 - Södra Hallands och norra Öresunds kustvatten	2 - Havsområde innanför 1 NM	19.2	19.2
2016	2016-06-14			48cdf42232374e79a3fb68fe2dc092fe	S5	56.3155	12.65217	562000-123800	Skälderviken	S Kattegatt	Västerhavets vattendistrikt	05 - Södra Hallands och norra Öresunds kustvatten	2 - Havsområde innanför 1 NM	19.2	19.2
2016	2016-06-14			675a4e1e206138a612c55327d4fff4ee	S5	56.3155	12.65217	562000-123800	Skälderviken	S Kattegatt	Västerhavets vattendistrikt	05 - Södra Hallands och norra Öresunds kustvatten	2 - Havsområde innanför 1 NM	19.2	19.2
2016	2016-06-14			da4f7af3e44d8313fcac35358f60032a	S5	56.3155	12.65217	562000-123800	Skälderviken	S Kattegatt	Västerhavets vattendistrikt	05 - Södra Hallands och norra Öresunds kustvatten	2 - Havsområde innanför 1 NM	19.2	19.2
2016	2016-06-14			11f0c1c5c4d478710214a9fc51b0512f	S5	56.3155	12.65217	562000-123800	Skälderviken	S Kattegatt	Västerhavets vattendistrikt	05 - Södra Hallands och norra Öresunds kustvatten	2 - Havsområde innanför 1 NM	19.2	19.2
2016	2016-06-13			460ae8c1fcb68bb9a4021d53b266a643	R 8-10	65.7474	22.4048	654470-222700	Gussöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	7.6	7.6
2016	2016-06-13			f5c5b84abe175dfa12f247e9e612ef65	R 8-11	65.72983	22.44357	654470-222700	Gussöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	11.5	11.5
2016	2016-06-13			1730fefbb1d085b2598b185daba53a8b	R 8-4	65.76723	22.53107	654470-222700	Gussöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	9.1	9.1
2016	2016-06-13			e32ec7c97e4834efbab1c54b51d2b0e8	R 8-5	65.7571	22.48082	654470-222700	Gussöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	9.6	9.6
2016	2016-06-13			6a263a37b98c488ee5e5529dbd703c14	R 8-6	65.77608000000001	22.43153	654470-222700	Gussöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	7.7	7.7
2016	2016-06-13			1369ef4ab0c541d63071d2fad1b85198	R 8-7	65.79557	22.45767	654820-222660	Rånefjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	5.8	5.8
2016	2016-06-13			4cb97b99c821c7a8b0ea7ef41a9555f1	R 8-8	65.80798	22.41583	654820-222660	Rånefjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	5.6	5.6
2016	2016-06-13			b7fb2aa63a43a1e1035c4cb81962f921	R 8-9	65.80718	22.37357	654820-222660	Rånefjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	7.0	7.0
2016	2016-06-13			c89689cb77b1055729a726cfcc676954	RF 1	65.8312	22.437820000000002	654820-222660	Rånefjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	4.5	4.5
2016	2016-06-13			5547989ea1c99f5f182ad1062eb5fd59	RF 2	65.78092	22.480829999999997	654820-222660	Rånefjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	7.0	7.0
2016	2016-06-09			718e556d5f9f1e551a1a3bcb543c446d	LS 1	65.55856999999999	22.31948	652920-222650	Sörbrändöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	3.5	3.5
2016	2016-06-09			680bd27a9da7464647907d6f1ef0788b	LS 2	65.55113	22.33342	652920-222650	Sörbrändöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	7.0	7.0
2016	2016-06-09			f019a146e942e11c46f03eaf022ab6d0	LS 3	65.54378	22.3479	652920-222650	Sörbrändöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	6.7	6.7
2016	2016-06-09			738c71d98e5cd3f280e8af9e77f094d2	LS 4B	65.53837	22.36345	652920-222650	Sörbrändöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	8.8	8.8
2016	2016-06-09			82a327a514cb7186880be046a837076d	LS 5B	65.55006999999999	22.31687	652920-222650	Sörbrändöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	3.0	3.0
2016	2016-06-09			acb7dcd36078105827457f7babbbf0a1	LS 6	65.53081999999999	22.39255	652920-222650	Sörbrändöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	10.5	10.5
2016	2016-06-08			fe7bfb7b3f6848caefce2009be192002	BF 1	65.80008000000001	23.54707	654640-233190	Bodöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	5.1	5.1
2016	2016-06-08		77UR	3c9011f72f2dd7f1be59fff006ac56d9	DRF 13	58.747769999999996	17.36498	584400-172270	Dragviksfjärden	V Gotlandshavet	Norra Östersjöns vattendistrikt	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2 - Havsområde innanför 1 NM	9.8	9.8
2016	2016-06-08		77UR	4ff84103498709e00a3d18035fc20ea1	DRF 14	58.74726999999999	17.34608	584400-172270	Dragviksfjärden	V Gotlandshavet	Norra Östersjöns vattendistrikt	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2 - Havsområde innanför 1 NM	8.5	8.5
2016	2016-06-08		77UR	d0192a603550c66df540ea7e88d2526a	DRF 15	58.739219999999996	17.34865	584400-172270	Dragviksfjärden	V Gotlandshavet	Norra Östersjöns vattendistrikt	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2 - Havsområde innanför 1 NM	13.5	13.5
2016	2016-06-08			e77c5e7be2ce6b09110875b7813987dd	R 9-11	65.7959	23.67383	654575-234250	Seskaröfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	8.0	8.0
2016	2016-06-08			e37e3f0df955f70217629e624a57bad2	R 9-12	65.7926	23.61563	654575-234250	Seskaröfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	7.2	7.2
2016	2016-06-08			3752939869b02dbd6920ae28bf7775e7	R 9-15	65.74627	23.53275	654640-233190	Bodöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	8.6	8.6
2016	2016-06-08			65e250b374c98f3443900b7655bd8fb8	R 9-16	65.76263	23.514979999999998	654640-233190	Bodöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	10.0	10.0
2016	2016-06-08			6353ad8a495ba2aab494ba490d75964f	R 9-17	65.78171999999999	23.52405	654640-233190	Bodöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	9.0	9.0
2016	2016-06-08			9820588f9d370899516388c5b11d5a9e	R 9-18	65.79	23.49877	654640-233190	Bodöfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	7.4	7.4
2016	2016-06-08			0f95caf9695c993289b58ddbdeeb2561	R 9-4	65.76247	23.80753	654575-234250	Seskaröfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	7.0	7.0
2016	2016-06-08			23f480ee77002865709b1b695bc7e207	R 9-6	65.74486999999999	23.701829999999998	654575-234250	Seskaröfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	6.7	6.7
2016	2016-06-08			a49e55f06da0fa67e9728f230418a713	R 9-7	65.76548000000001	23.70175	654575-234250	Seskaröfjärden	Bottenviken	Bottenvikens vattendistrikt	22 - Norra Bottenviken. Inre kustvatten	2 - Havsområde innanför 1 NM	13.5	13.5
2016	2016-06-07		77UR	d1bd968a3e00e185ac0a03295ab03c9b	DRF 11	58.73927	17.39025	584400-172270	Dragviksfjärden	V Gotlandshavet	Norra Östersjöns vattendistrikt	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2 - Havsområde innanför 1 NM	9.0	9.0
2016	2016-06-07		77UR	c97b6f914bd892f1da135d0792e970de	DRF 12	58.73765	17.3764	584400-172270	Dragviksfjärden	V Gotlandshavet	Norra Östersjöns vattendistrikt	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2 - Havsområde innanför 1 NM	10.0	10.0
2016	2016-06-07		77UR	6bf2e9bac0a61c67d697e033e1951aec	KRF 1	58.72223	17.34933	584390-172085	Kråkfjärden	V Gotlandshavet	Norra Östersjöns vattendistrikt	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2 - Havsområde innanför 1 NM	20.5	20.5
2016	2016-06-07		77UR	c25ef3aca6955239a0784ef9aca7c180	KRF 2	58.73413000000001	17.33942	584390-172085	Kråkfjärden	V Gotlandshavet	Norra Östersjöns vattendistrikt	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2 - Havsområde innanför 1 NM	17.5	17.5
2016	2016-06-07		77UR	24cd12c24cd8ce7a29cafd13a73d99a6	KRF 3	58.73846999999999	17.325329999999997	584390-172085	Kråkfjärden	V Gotlandshavet	Norra Östersjöns vattendistrikt	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2 - Havsområde innanför 1 NM	15.0	15.0
2016	2016-06-07		77UR	f5ac6d9a2b952c0d2a300dfd835b394f	KRF 4	58.74616999999999	17.31438	584390-172085	Kråkfjärden	V Gotlandshavet	Norra Östersjöns vattendistrikt	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2 - Havsområde innanför 1 NM	11.0	11.0
2016	2016-06-07		77UR	5633de5d456619a11ea1286889c082f2	KRF 5	58.75245	17.31643	584390-172085	Kråkfjärden	V Gotlandshavet	Norra Östersjöns vattendistrikt	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2 - Havsområde innanför 1 NM	7.0	7.0
2016	2016-06-07			e0e7061afa0bb38873f362517f1b46b9	ÖVF 2:1 HELSINGBORG	56.028330000000004	12.68667	562290-124131	Helsingborgsområdet	Öresund	Södra Östersjöns vattendistrikt	06 - Öresunds kustvatten	2 - Havsområde innanför 1 NM	29.0	29.0
2016	2016-06-07			bc6dcd7fa2b73a915b5c17824e57ae97	ÖVF 2:1 HELSINGBORG	56.028330000000004	12.68667	562290-124131	Helsingborgsområdet	Öresund	Södra Östersjöns vattendistrikt	06 - Öresunds kustvatten	2 - Havsområde innanför 1 NM	29.0	29.0
2016	2016-06-07			81e2cae4fe1bbc806740b793774925bf	ÖVF 2:1 HELSINGBORG	56.028330000000004	12.68667	562290-124131	Helsingborgsområdet	Öresund	Södra Östersjöns vattendistrikt	06 - Öresunds kustvatten	2 - Havsområde innanför 1 NM	29.0	29.0
2016	2016-06-07			87add0933b4de20ee7112beab7b54892	ÖVF 2:1 HELSINGBORG	56.028330000000004	12.68667	562290-124131	Helsingborgsområdet	Öresund	Södra Östersjöns vattendistrikt	06 - Öresunds kustvatten	2 - Havsområde innanför 1 NM	29.0	29.0
2016	2016-06-07			ef8fd5513fb7f0a98e555b5487f89ffb	ÖVF 2:1 HELSINGBORG	56.028330000000004	12.68667	562290-124131	Helsingborgsområdet	Öresund	Södra Östersjöns vattendistrikt	06 - Öresunds kustvatten	2 - Havsområde innanför 1 NM	29.0	29.0
2016	2016-06-02			ea98b8bf220bd6b0c009d696b6f82004	G 10	62.89055	18.28903	625180-181655	Gaviksfjärden	Bottenhavet	Bottenhavets vattendistrikt	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2 - Havsområde innanför 1 NM	52.8	52.8
2016	2016-06-02			4e42922a53623eb5b23876e5cc8f268d	G 11	62.865080000000006	18.29177	625180-181655	Gaviksfjärden	Bottenhavet	Bottenhavets vattendistrikt	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2 - Havsområde innanför 1 NM	74.5	74.5
